Year,Air - Americas,Air - Europe and Former USSR,Air - Africa and Middle East,Air - Asia and Oceania,LW - Americas,LW - Europe and Former USSR,LW - Africa and Middle East,LW - Asia and Oceania
1510.0,0.010433,26.904902,1.476821,5.124456,0.015649,78.31441,2.215231,7.678552
1520.0,0.031298,30.888811,1.45924,5.486467,0.046947,87.935615,2.188859,8.219856
1530.0,1.728845,35.048772,1.441658,5.848477,41.846212,98.172884,2.162488,8.76116
1540.0,5.77454,39.401747,1.424077,6.210488,132.594076,109.085539,2.136116,9.302464
1550.0,8.805001,43.932569,1.406496,6.572499,211.885668,120.687971,2.109744,9.843768
1560.0,43.235632,44.596121,1.388915,6.934509,394.521666,122.411509,2.083372,10.385072
1570.0,47.639164,45.264771,1.371334,7.29652,467.14558,124.1525,2.057,10.926376
1580.0,52.150259,45.924935,1.353752,7.658531,540.145615,125.890648,2.030629,11.46768
1590.0,56.668888,44.883246,1.336171,8.020541,613.384233,125.085965,2.004257,12.008984
1600.0,61.254831,41.570785,1.31859,9.268281,686.964344,120.885114,1.977885,13.878882
1610.0,61.520602,44.325424,1.249064,10.516022,682.666175,137.917844,1.873597,15.74878
1620.0,61.128908,48.502392,1.179539,11.763762,654.916653,159.927014,1.769308,17.618678
1630.0,60.997093,58.312534,1.110013,13.011502,636.021959,193.854853,1.66502,19.488577
1640.0,60.624351,70.240561,1.040487,14.259242,608.337704,235.192199,1.560731,21.358475
1650.0,60.514743,75.049817,0.970962,15.506982,589.613059,251.609699,1.456443,23.228373
1660.0,59.437868,62.01287,0.901436,16.754722,559.463095,205.559909,1.352154,25.098271
1670.0,58.60849,52.922142,0.83191,18.002462,538.019268,173.314385,1.247866,26.968169
1680.0,57.532295,45.366902,0.762145,19.250202,507.870233,146.432322,1.143218,28.838068
1690.0,56.869705,39.095259,0.745992,20.497942,488.154624,124.029303,1.118988,30.707966
1700.0,55.881621,33.897658,0.72984,21.745683,458.165118,105.367216,1.094759,32.577864
1710.0,55.825903,45.406917,0.713687,0.821563,531.907352,141.431887,1.07053,1.183789
1720.0,54.140878,60.310153,0.697534,0.826903,538.905051,189.151698,1.046301,1.183904
1730.0,55.119291,79.654224,0.681381,0.826882,631.480726,252.370196,1.022072,1.175976
1740.0,53.93223,104.977004,0.665229,0.842945,640.221297,336.454722,0.997843,1.192175
1750.0,55.485953,138.035992,0.649076,0.859007,738.549384,448.150573,0.973614,1.208374
1760.0,59.928069,155.397491,0.632923,0.87507,766.991721,504.540656,0.949385,1.224573
1770.0,67.032671,174.646298,0.632923,0.891133,879.200904,567.75776,0.949385,1.240771
1780.0,72.144935,196.129696,0.632923,0.907196,909.950502,638.678228,0.949385,1.25697
1790.0,84.678723,218.259332,0.632923,0.923259,1189.912383,715.45058,0.949385,1.273169
1800.0,77.650392,223.420049,0.632923,0.939321,1178.148248,731.942861,0.949385,1.289368
1810.0,48.647055,214.418005,0.638198,1.429143,1058.331851,685.945711,0.957296,1.534927
1820.0,30.173216,207.021355,0.478648,2.334528,712.631,644.502994,0.717972,2.458998
1830.0,21.983062,206.641891,0.319099,6.292086,632.055266,610.118923,0.478648,3.383862
1840.0,26.593192,241.730416,1.209549,11.984313,700.080536,677.326162,0.239324,4.307933
1850.0,85.236224,282.505693,3.716368,27.10456,605.558704,746.391097,0.158247,10.159737
1860.0,133.072776,338.670091,6.253852,42.501195,758.889444,827.925889,0.412198,64.594154
1870.0,507.715201,438.636562,9.140155,38.531489,2647.700507,1031.862036,1.307859,59.815961
1880.0,1006.864356,661.602203,12.645459,50.663986,3798.66456,1638.755259,3.915075,76.217376
1890.0,1405.853878,835.81599,16.694497,201.646462,3124.180742,2231.670166,24.849078,299.509709
1900.0,1102.093075,694.170678,22.947905,350.972154,3057.405264,1715.974311,33.182658,514.791794
